# File: WEO2022_elec_params.csv,,,,,,,
# Title: Power technology assumptions of WEO2022,,,,,,,
# Units: in file,,,,,,,
# Source: WEO 2022 (https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2022-free-dataset#tables-for-scenario-projections),,,,,,,
# Comments: WEO technologies are mapped to GCAM technologies in energy/mappings/weo_elec_mapping.csv. Regions are mapped in energy/mappings/weo_elec_mapping.csv,,,,,,,
# Column types: cnnncccc,,,,,,,
# ----------,,,,,,,
region,2021,2030,2050,scenario,Unit,technology,subsector
Japan,2600,2600,2600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,2200,2200,2200,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
China,800,800,800,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
India,1400,1400,1400,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,1600,1600,1600,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,1900,1900,1900,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,1800,1800,1800,Stated.Policies,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,2500,2350,2300,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
United States,2600,2450,2400,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
Japan,2900,2750,2700,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
Russia,2500,2350,2300,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
China,1100,1000,900,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
India,1600,1500,1500,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
Middle East,2000,1900,1900,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
Africa,2200,2100,2100,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
Brazil,2000,1900,1900,Stated.Policies,"Capital costs
(USD/kW)",IGCC,coal
European Union,45,45,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
United States,45,45,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Japan,55,55,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Russia,50,50,50,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
China,20,20,20,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
India,35,35,35,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Middle East,45,45,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Africa,45,45,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Brazil,45,45,45,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
European Union,60,60,60,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
United States,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Japan,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Russia,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
China,30,30,30,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
India,50,50,50,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Middle East,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Africa,55,55,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Brazil,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
European Union,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Japan,80,80,80,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
China,30,30,30,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
India,55,55,55,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,65,65,65,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,90,85,80,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
United States,90,85,85,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
Japan,100,95,95,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
Russia,90,85,80,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
China,50,45,40,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
India,70,70,70,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
Middle East,90,85,85,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
Africa,90,85,85,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
Brazil,90,85,85,Stated.Policies,"Annual O&M Costs
(USD/kW)",IGCC,coal
European Union,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
United States,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Japan,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Russia,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
China,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
India,0.36,0.36,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Middle East,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Africa,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Brazil,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
European Union,0.43,0.43,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
United States,0.43,0.43,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Japan,0.43,0.43,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Russia,0.43,0.43,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
China,0.41,0.41,0.41,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
India,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Middle East,0.41,0.41,0.41,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Africa,0.39,0.39,0.39,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Brazil,0.43,0.43,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
European Union,0.45,0.47,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,0.45,0.47,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Japan,0.45,0.47,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,0.45,0.47,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
China,0.44,0.46,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
India,0.4,0.42,0.43,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,0.43,0.45,0.45,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,0.42,0.43,0.44,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,0.45,0.47,0.47,Stated.Policies,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,0.44,0.47,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
United States,0.44,0.47,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
Japan,0.44,0.47,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
Russia,0.44,0.47,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
China,0.43,0.46,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
India,0.41,0.44,0.47,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
Middle East,0.42,0.45,0.47,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
Africa,0.4,0.43,0.45,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
Brazil,0.44,0.47,0.49,Stated.Policies,"Efficiency
(gross, LHV)",IGCC,coal
European Union,NA,1700,1700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
United States,NA,1800,1800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Japan,NA,2100,2100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Russia,NA,1700,1700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
China,NA,600,600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
India,NA,1000,1000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Middle East,NA,1300,1300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Africa,NA,1300,1300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Brazil,NA,1300,1300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
European Union,NA,2000,2000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
United States,NA,2100,2100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Japan,NA,2400,2400,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Russia,NA,2000,2000,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
China,NA,700,700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
India,NA,1200,1200,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Middle East,NA,1600,1600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Africa,NA,1600,1600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Brazil,NA,1600,1600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
European Union,NA,2200,2200,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,NA,2300,2300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Japan,NA,2600,2600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,NA,2200,2200,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
China,NA,800,800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
India,NA,1400,1400,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,NA,1600,1600,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,NA,1900,1900,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,NA,1800,1800,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,NA,2350,2300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
United States,NA,2450,2400,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
Japan,NA,2750,2700,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
Russia,NA,2350,2300,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
China,NA,1000,900,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
India,NA,1500,1500,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
Middle East,NA,1900,1900,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
Africa,NA,2100,2100,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
Brazil,NA,1900,1900,Net.Zero.Emissions.by.2050,"Capital costs
(USD/kW)",IGCC,coal
European Union,NA,45,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
United States,NA,45,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Japan,NA,55,55,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Russia,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
China,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
India,NA,35,35,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Middle East,NA,45,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Africa,NA,45,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
Brazil,NA,45,45,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUBCRITICAL,coal
European Union,NA,60,60,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
United States,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Japan,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Russia,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
China,NA,30,30,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
India,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Middle East,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Africa,NA,55,55,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
Brazil,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - SUPERCRITICAL,coal
European Union,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Japan,NA,80,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
China,NA,30,30,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
India,NA,55,55,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,NA,85,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
United States,NA,85,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
Japan,NA,95,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
Russia,NA,85,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
China,NA,45,40,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
India,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
Middle East,NA,85,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
Africa,NA,85,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
Brazil,NA,85,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",IGCC,coal
European Union,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
United States,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Japan,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Russia,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
China,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
India,NA,0.36,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Middle East,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Africa,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
Brazil,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUBCRITICAL,coal
European Union,NA,0.43,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
United States,NA,0.43,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Japan,NA,0.43,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Russia,NA,0.43,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
China,NA,0.41,0.41,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
India,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Middle East,NA,0.41,0.41,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Africa,NA,0.39,0.39,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
Brazil,NA,0.43,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - SUPERCRITICAL,coal
European Union,NA,0.47,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
United States,NA,0.47,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Japan,NA,0.47,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Russia,NA,0.47,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
China,NA,0.46,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
India,NA,0.42,0.43,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Middle East,NA,0.45,0.45,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Africa,NA,0.43,0.44,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
Brazil,NA,0.47,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Steam Coal - ULTRASUPERCRITICAL,coal
European Union,NA,0.47,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
United States,NA,0.47,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
Japan,NA,0.47,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
Russia,NA,0.47,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
China,NA,0.46,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
India,NA,0.44,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
Middle East,NA,0.45,0.47,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
Africa,NA,0.43,0.45,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
Brazil,NA,0.47,0.49,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",IGCC,coal
European Union,1000,1000,1000,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
United States,1000,1000,1000,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
Japan,1100,1100,1100,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
Russia,800,800,800,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
China,560,560,560,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
India,700,700,700,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
Middle East,800,800,800,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
Africa,700,700,700,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
Brazil,700,700,700,Stated.Policies,"Capital costs
(USD/kW)",CCGT,gas
European Union,500,500,500,Stated.Policies,"Capital costs
(USD/kW)",Gas turbine,gas
