# File: A_irnstl_base_shareweights.csv,,,,
# Title: Technology shareweights to serve as reference for techs that aren't used in 2015,,,,
# Units: NA,,,,
# Comments: 2015 shareweights,,,,
# Column types: ccccn,,,,
# ----------,,,,
region,sector,subsector,technology,shareweight
Colombia,regional iron and steel,domestic iron and steel,BF_BOF,0.126438
Colombia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.043594
Colombia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
EU-12,regional iron and steel,domestic iron and steel,BF_BOF,1
EU-12,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.100201
EU-12,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.32996
EU-15,regional iron and steel,domestic iron and steel,BF_BOF,1
EU-15,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.118104
EU-15,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.53972
Europe_Eastern,regional iron and steel,domestic iron and steel,BF_BOF,1
Europe_Eastern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0608994
Europe_Eastern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.36594
Europe_Non_EU,regional iron and steel,domestic iron and steel,BF_BOF,0.306435
Europe_Non_EU,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0175918
Europe_Non_EU,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
European Free Trade Association,regional iron and steel,domestic iron and steel,BF_BOF,1
European Free Trade Association,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0191824
European Free Trade Association,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.69778
India,regional iron and steel,domestic iron and steel,BF_BOF,1
India,regional iron and steel,domestic iron and steel,DRI_EAF_coal,38.2021
India,regional iron and steel,domestic iron and steel,DRI_EAF_NG,3.25766
India,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.62195
Indonesia,regional iron and steel,domestic iron and steel,BF_BOF,1
Indonesia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.547839
Indonesia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,2.03074
Japan,regional iron and steel,domestic iron and steel,BF_BOF,1
Japan,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.125281
Japan,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.96361
Mexico,regional iron and steel,domestic iron and steel,BF_BOF,0.210781
Mexico,regional iron and steel,domestic iron and steel,DRI_EAF_NG,4.62426
Mexico,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Middle East,regional iron and steel,domestic iron and steel,BF_BOF,0.00775833
Middle East,regional iron and steel,domestic iron and steel,DRI_EAF_NG,1
Middle East,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.00112899
Pakistan,regional iron and steel,domestic iron and steel,BF_BOF,0.0173675
Pakistan,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0269946
Pakistan,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Russia,regional iron and steel,domestic iron and steel,BF_BOF,1
Russia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,3.43088
Russia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,0.614778
South Africa,regional iron and steel,domestic iron and steel,BF_BOF,1
South Africa,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.138584
South Africa,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1.31652
South America_Northern,regional iron and steel,domestic iron and steel,BF_BOF,4.91E-04
South America_Northern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,1.82883
South America_Northern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
South America_Southern,regional iron and steel,domestic iron and steel,BF_BOF,0.156326
South America_Southern,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.374649
South America_Southern,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
South Asia,regional iron and steel,domestic iron and steel,BF_BOF,0.00174186
South Asia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.0293028
South Asia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
South Korea,regional iron and steel,domestic iron and steel,BF_BOF,1
South Korea,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.194465
South Korea,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,4.07964
Southeast Asia,regional iron and steel,domestic iron and steel,BF_BOF,0.134592
Southeast Asia,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.361561
Southeast Asia,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
Taiwan,regional iron and steel,domestic iron and steel,BF_BOF,1
Taiwan,regional iron and steel,domestic iron and steel,DRI_EAF_NG,0.144547
Taiwan,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,3.48484
USA,regional iron and steel,domestic iron and steel,BF_BOF,0.474832
USA,regional iron and steel,domestic iron and steel,DRI_EAF_NG,4.30602
USA,regional iron and steel,domestic iron and steel,EAF_scrap_fossil_NG_finish,1
